iter	Passed	Remaining
550	56386	58945
551	56482	58835
552	56598	58747
553	56716	58662
554	56798	58538
555	56883	58417
556	56993	58323
557	57086	58211
558	57190	58111
559	57274	57990
560	57363	57874
561	57472	57778
562	57561	57663
563	57680	57577
564	57781	57475
565	57876	57365
566	57981	57265
567	58093	57173
568	58200	57075
569	58309	56979
570	58426	56891
571	58538	56798
572	58639	56695
573	58744	56594
574	58846	56492
575	58938	56380
576	59041	56278
577	59139	56172
578	59256	56083
579	59369	55991
580	59489	55905
581	59600	55811
582	59697	55704
583	59777	55580
584	59863	55463
585	59955	55351
586	60060	55251
587	60167	55153
588	60262	55044
589	60328	54909
590	60444	54819
591	60551	54721
592	60675	54638
593	60808	54564
594	60926	54475
595	61063	54404
596	61151	54288
597	61266	54197
598	61379	54104
599	61478	53998
600	61576	53892
601	61654	53768
602	61764	53672
603	61889	53589
604	62004	53497
605	62107	53396
606	62196	53282
607	62281	53164
608	62424	53096
609	62535	53001
610	62642	52903
611	62746	52801
612	62833	52685
613	62930	52578
614	63041	52483
615	63127	52367
616	63213	52250
617	63327	52158
618	63424	52050
619	63526	51948
620	63640	51855
621	63751	51759
622	63858	51660
623	63972	51567
624	64072	51463
625	64179	51364
626	64280	51260
627	64393	51166
628	64507	51072
629	64609	50969
630	64719	50873
631	64806	50758
632	64917	50662
633	65055	50587
634	65200	50517
635	65315	50424
636	65439	50338
637	65565	50252
638	65712	50184
639	65833	50095
640	65945	49999
641	66086	49925
642	66212	49839
643	66337	49753
644	66450	49657
645	66538	49543
646	66646	49443
647	66748	49339
648	66839	49228
649	66971	49146
650	67080	49048
651	67187	48948
652	67308	48857
653	67401	48747
654	67493	48636
655	67590	48528
656	67693	48426
657	67788	48317
658	67878	48204
659	67992	48109
660	68094	48006
661	68188	47896
662	68309	47806
663	68421	47709
664	68536	47614
665	68640	47512
666	68730	47400
667	68846	47305
668	68967	47215
669	69063	47107
670	69154	46996
671	69255	46891
672	69372	46797
673	69475	46694
674	69578	46592
675	69687	46492
676	69785	46386
677	69900	46290
678	70004	46188
679	70109	46086
680	70185	45966
681	70297	45868
682	70396	45762
683	70518	45671
684	70610	45561
685	70672	45432
686	70779	45331
687	70908	45245
688	71033	45156
689	71134	45051
690	71253	44958
691	71350	44851
692	71450	44746
693	71563	44650
694	71673	44550
695	71795	44459
696	71902	44358
697	72010	44258
698	72104	44149
699	72209	44047
700	72299	43936
701	72407	43836
702	72488	43719
703	72593	43617
704	72683	43506
705	72787	43404
706	72885	43298
707	73004	43204
708	73082	43086
709	73192	42987
710	73293	42883
711	73405	42785
712	73515	42686
713	73619	42583
714	73714	42476
715	73830	42380
716	73944	42283
717	74039	42175
718	74136	42069
719	74228	41959
720	74325	41853
721	74442	41758
722	74550	41657
723	74656	41555
724	74751	41448
725	74850	41342
726	74948	41237
727	75047	41132
728	75146	41026
729	75238	40917
730	75346	40816
731	75454	40716
732	75566	40618
733	75673	40517
734	75771	40411
735	75870	40306
736	75970	40201
737	76065	40094
738	76167	39990
739	76289	39897
740	76377	39786
741	76479	39682
742	76585	39581
743	76698	39483
744	76812	39385
745	76907	39278
746	77032	39186
747	77128	39080
748	77226	38974
749	77320	38866
750	77433	38768
751	77546	38670
752	77648	38566
753	77747	38461
754	77847	38356
755	77961	38258
756	78047	38147
757	78141	38039
758	78248	37938
759	78354	37836
760	78471	37740
761	78560	37630
762	78647	37520
763	78759	37421
764	78851	37312
765	78955	37210
766	79041	37099
767	79142	36994
768	79241	36890
769	79343	36786
770	79486	36702
771	79604	36605
772	79696	36497
773	79813	36400
774	79889	36285
775	79987	36180
776	80081	36072
777	80187	35970
778	80304	35874
779	80401	35768
780	80486	35657
781	80585	35552
782	80689	35449
783	80802	35351
784	80887	35240
785	80982	35133
786	81079	35027
787	81176	34922
788	81283	34821
789	81382	34716
790	81499	34619
791	81590	34510
792	81680	34402
793	81786	34301
794	81884	34195
795	81977	34088
796	82061	33977
797	82176	33879
798	82270	33773
799	82375	33670
800	82491	33573
801	82586	33467
802	82693	33365
803	82798	33263
804	82905	33162
805	82986	33050
806	83071	32940
807	83190	32843
808	83285	32737
809	83402	32640
810	83499	32534
811	83604	32432
812	83706	32329
813	83820	32230
814	83910	32122
815	84026	32024
816	84122	31919
817	84227	31816
818	84324	31711
819	84417	31605
820	84520	31502
821	84633	31402
822	84728	31296
823	84840	31197
824	84938	31092
825	85024	30983
826	85138	30884
827	85236	30780
828	85337	30676
829	85480	30587
830	85579	30483
831	85660	30372
832	85762	30268
833	85861	30164
834	85954	30058
835	86060	29956
836	86158	29851
837	86264	29750
838	86369	29647
839	86471	29544
840	86573	29441
841	86668	29335
842	86757	29228
843	86855	29123
844	86951	29018
845	87039	28910
846	87126	28801
847	87227	28698
848	87329	28595
849	87429	28491
850	87520	28385
851	87625	28282
852	87716	28176
853	87797	28066
854	87879	27957
855	87980	27853
856	88070	27746
857	88180	27646
858	88296	27547
859	88390	27442
860	88491	27338
861	88602	27238
862	88684	27129
863	88800	27030
864	88879	26920
865	88973	26815
866	89073	26711
867	89178	26609
868	89283	26507
869	89397	26408
870	89475	26298
871	89591	26199
872	89655	26085
873	89752	25981
874	89855	25878
875	89972	25779
876	90061	25673
877	90176	25573
878	90271	25469
879	90360	25362
880	90471	25262
881	90579	25160
882	90674	25056
883	90778	24953
884	90885	24852
885	90978	24746
886	91071	24641
887	91190	24543
888	91301	24443
889	91393	24337
890	91497	24234
891	91594	24130
892	91691	24026
893	91793	23923
894	91894	23820
895	91998	23718
896	92106	23617
897	92204	23513
898	92302	23409
899	92375	23299
900	92462	23192
901	92567	23090
902	92657	22984
903	92755	22881
904	92857	22778
905	92958	22675
906	93057	22571
907	93156	22468
908	93269	22368
909	93360	22262
910	93451	22157
911	93557	22055
912	93673	21956
913	93768	21852
914	93865	21748
915	93969	21645
916	94065	21541
917	94172	21440
918	94266	21335
919	94378	21235
920	94494	21135
921	94613	21036
922	94734	20938
923	94828	20833
924	94932	20731
925	95033	20628
926	95136	20525
927	95231	20421
928	95325	20316
929	95428	20214
930	95536	20113
931	95631	20008
932	95735	19906
933	95845	19805
934	95950	19703
935	96048	19599
936	96149	19496
937	96253	19394
938	96359	19292
939	96473	19192
940	96583	19090
941	96671	18985
942	96776	18883
943	96873	18779
944	96978	18677
945	97080	18574
946	97177	18470
947	97271	18366
948	97348	18259
949	97475	18161
950	97591	18061
951	97693	17958
952	97782	17853
953	97885	17750
954	97996	17649
955	98102	17547
956	98201	17444
957	98293	17339
958	98398	17237
959	98514	17137
960	98608	17033
961	98697	16928
962	98797	16825
963	98909	16724
964	98995	16618
965	99092	16515
966	99243	16420
967	99334	16316
968	99447	16215
969	99551	16112
970	99659	16011
971	99761	15908
972	99862	15805
973	99953	15701
974	100054	15598
975	100141	15493
976	100239	15389
977	100344	15287
978	100452	15185
979	100538	15080
980	100652	14979
981	100763	14878
982	100861	14775
983	100955	14671
984	101065	14569
985	101149	14464
986	101230	14358
987	101344	14257
988	101457	14156
989	101536	14051
990	101649	13949
991	101768	13849
992	101865	13746
993	101964	13643
994	102063	13540
995	102156	13436
996	102248	13332
997	102362	13231
998	102457	13127
999	102570	13026
1000	102676	12924
1001	102760	12819
1002	102865	12717
1003	102965	12614
1004	103074	12512
1005	103167	12408
1006	103262	12305
1007	103374	12203
1008	103484	12102
1009	103585	11999
1010	103694	11897
1011	103784	11793
1012	103879	11690
1013	103966	11586
1014	104070	11483
1015	104148	11378
1016	104242	11274
1017	104326	11170
1018	104419	11067
1019	104524	10964
1020	104613	10860
1021	104724	10759
1022	104812	10655
1023	104922	10553
1024	105008	10449
1025	105105	10346
1026	105214	10244
1027	105319	10142
1028	105414	10039
1029	105527	9937
1030	105632	9835
1031	105736	9733
1032	105831	9630
1033	105926	9527
1034	106026	9424
1035	106132	9322
1036	106233	9219
1037	106339	9117
1038	106440	9015
1039	106553	8913
1040	106647	8810
1041	106748	8707
1042	106861	8606
1043	106967	8504
1044	107075	8402
1045	107188	8300
1046	107291	8198
1047	107399	8095
1048	107493	7992
1049	107614	7891
1050	107709	7788
1051	107814	7686
1052	107913	7583
1053	108013	7480
1054	108100	7377
1055	108198	7274
1056	108303	7172
1057	108411	7070
1058	108516	6968
1059	108621	6865
1060	108725	6763
1061	108818	6660
1062	108926	6558
1063	109027	6455
1064	109127	6352
1065	109233	6250
1066	109337	6148
1067	109429	6045
1068	109515	5941
1069	109626	5839
1070	109739	5737
1071	109847	5635
1072	109954	5533
1073	110046	5430
1074	110176	5329
1075	110265	5226
1076	110363	5123
1077	110453	5020
1078	110565	4918
1079	110663	4815
1080	110770	4713
1081	110865	4610
1082	110961	4508
1083	111070	4405
1084	111181	4303
1085	111270	4200
1086	111364	4098
1087	111483	3996
1088	111584	3893
1089	111688	3791
1090	111769	3688
1091	111897	3586
1092	112017	3484
1093	112113	3381
1094	112207	3279
1095	112321	3176
1096	112421	3074
1097	112522	2971
1098	112632	2869
1099	112722	2766
1100	112815	2664
1101	112924	2561
1102	113014	2459
1103	113126	2356
1104	113229	2254
1105	113335	2151
1106	113450	2049
1107	113561	1947
1108	113659	1844
1109	113785	1742
1110	113884	1640
1111	114007	1537
1112	114109	1435
1113	114215	1332
1114	114322	1230
1115	114417	1127
1116	114512	1025
1117	114615	922
1118	114741	820
1119	114858	717
1120	114968	615
1121	115085	512
1122	115202	410
1123	115308	307
1124	115414	205
1125	115523	102
1126	115653	0
